rank,Artist,Title,Image URL,Release Date,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,duration_sec,time_signature,Preview URL
3903,Adele,Someone Like You,https://i.scdn.co/image/ab67616d0000b273744ea41a7c1ae57024752db9,2011-01-19,47,0.556,0.319,9,-8.251,1,0.0281,0.893,0.00E+00,0.0996,0.294,135.187,285240,285.24,4,https://p.scdn.co/mp3-preview/a79d612cac9b64e900ae937234e2838a88ebc415?cid=133ab60d36dd449d94af25689ddde7ed
3904,DJ Snake,Let Me Love You - Zedd Remix,https://i.scdn.co/image/ab67616d0000b2738a91581018297765dc67cdc4,2016-12-16,41,0.719,0.852,10,-4.244,0,0.0522,0.00976,5.69E-03,0.084,0.262,117.032,206653,206.653,4,
3905,amazarashi,ヒーロー,https://i.scdn.co/image/ab67616d0000b27374ab0d75f737b0d52e3e488c,2017-03-29,28,0.453,0.843,7,-3.186,1,0.0648,0.0302,0.00E+00,0.43,0.331,174.91,302533,302.533,4,https://p.scdn.co/mp3-preview/e0c72c3b6d8709e082db5faf2cf47ce14137bc47?cid=133ab60d36dd449d94af25689ddde7ed
3906,ONE OK ROCK,Good Goodbye,https://i.scdn.co/image/ab67616d0000b27329a097e1c0cd3bb4655687c2,2015-02-11,46,0.611,0.56,6,-5.326,1,0.0296,0.0259,5.35E-06,0.0723,0.35,101.955,225453,225.453,4,https://p.scdn.co/mp3-preview/66609320a0cb34f5f013ce112649789f9ed65cbd?cid=133ab60d36dd449d94af25689ddde7ed
3907,Ed Sheeran,The A Team,https://i.scdn.co/image/ab67616d0000b273e6d489d359c546fea254f440,2011-09-09,77,0.642,0.289,9,-9.918,1,0.0367,0.669,0.00E+00,0.18,0.407,84.996,258373,258.373,4,https://p.scdn.co/mp3-preview/1cab73cd0e33cec8fe9a0ffe7319170862f37f8a?cid=133ab60d36dd449d94af25689ddde7ed
3908,Suchmos,GAGA,https://i.scdn.co/image/ab67616d0000b273a9aa4ed18522325b82c03507,2015-07-08,43,0.611,0.867,11,-6.301,0,0.0379,0.142,2.06E-03,0.305,0.829,128.241,273640,273.64,4,https://p.scdn.co/mp3-preview/a5d14d8afdd49bf61e2112a82db44c6657901214?cid=133ab60d36dd449d94af25689ddde7ed
3909,Gorillaz,We Got The Power,https://i.scdn.co/image/ab67616d0000b273a5952c0e2e649f588603b743,2017-04-28,49,0.507,0.985,0,-2.392,1,0.153,0.228,3.31E-05,0.19,0.394,150.059,139560,139.56,4,https://p.scdn.co/mp3-preview/6a458108a18e0d5286e01a41e6884a2470d16d39?cid=133ab60d36dd449d94af25689ddde7ed
3910,PIKOTARO,ロミータ・ハシミコフ,https://i.scdn.co/image/ab67616d0000b273bf37d8ebcbb38d63a7af9e95,2016-12-07,8,0.652,0.79,2,-4.883,1,0.195,0.096,0.00E+00,0.183,0.945,80.134,66827,66.827,4,https://p.scdn.co/mp3-preview/79d44250580654f21e7578da8c5a5ba6ade58734?cid=133ab60d36dd449d94af25689ddde7ed
3911,Ed Sheeran,Shape of You,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,2017-03-03,89,0.825,0.652,1,-3.183,0,0.0802,0.581,0.00E+00,0.0931,0.931,95.977,233713,233.713,4,https://p.scdn.co/mp3-preview/7339548839a263fd721d01eb3364a848cad16fa7?cid=133ab60d36dd449d94af25689ddde7ed
3912,Sia,Move Your Body - Alan Walker Remix,https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837,2016-10-21,68,0.636,0.789,10,-4.905,0,0.0892,0.0834,8.96E-04,0.391,0.4,128.028,217907,217.907,4,https://p.scdn.co/mp3-preview/a71e3d214b3cb2253aec774caa6af5245f51c11b?cid=133ab60d36dd449d94af25689ddde7ed
